t_s,phase,P_demand_kW,V_pack,I_pack,SOC_pct,E_consumed_kWh,alt_m,range_km,v_mps,C_rate,E_remaining_kWh
486,Climb,156.8,751.024016550189,-209.066666666667,89.1775610743861,11.4968767418119,874.70403587444,4.49258408071749,36.0650224215247,1.49571422881143,93.4873875444467
487,Climb,156.8,751.017294688667,-209.066666666667,89.1360134569191,11.5404915709975,879.829596412556,4.52868834080718,36.1434977578475,1.49571422881143,93.4438319888911
488,Climb,156.8,751.010572827146,-209.066666666667,89.0944658394521,11.5841060098172,884.955156950673,4.56487107623318,36.2219730941704,1.49571422881143,93.4002764333355
489,Climb,156.8,751.003850965625,-209.066666666667,89.0529182219851,11.627720058271,890.080717488789,4.60113228699552,36.3004484304933,1.49571422881143,93.35672087778
490,Climb,156.8,750.997129104103,-209.066666666667,89.0113706045182,11.671333716359,895.206278026906,4.63747197309417,36.3789237668161,1.49571422881143,93.3131653222244
491,Climb,156.8,750.990407242582,-209.066666666667,88.9698229870512,11.7149469840811,900.331838565022,4.67389013452915,36.457399103139,1.49571422881143,93.2696097666689
492,Climb,156.8,750.983685381061,-209.066666666667,88.9282753695842,11.7585598614372,905.457399103139,4.71038677130045,36.5358744394619,1.49571422881143,93.2260542111133
493,Climb,156.8,750.976963519539,-209.066666666667,88.8867277521172,11.8021723484275,910.582959641256,4.74696188340807,36.6143497757848,1.49571422881143,93.1824986555578
494,Climb,156.8,750.970241658018,-209.066666666667,88.8451801346502,11.8457844450519,915.708520179372,4.78361547085202,36.6928251121076,1.49571422881143,93.1389431000022
495,Climb,156.8,750.963519796497,-209.066666666667,88.8036325171832,11.8893961513105,920.834080717489,4.82034753363229,36.7713004484305,1.49571422881143,93.0953875444467
496,Climb,156.8,750.956409499186,-209.066666666667,88.7620848997163,11.9330074559241,925.959641255605,4.85715807174888,36.8497757847534,1.49571422881143,93.0518319888911
497,Climb,156.8,750.943951344114,-209.066666666667,88.7205372822493,11.9766181923278,931.085201793722,4.89404708520179,36.9282511210762,1.49571422881143,93.0082764333355
498,Climb,156.8,750.931493189041,-209.066666666667,88.6789896647823,12.0202282052358,936.210762331839,4.93101457399103,37.0067264573991,1.49571422881143,92.96472087778
499,Climb,156.8,750.919035033969,-209.066666666667,88.6374420473153,12.0638374946479,941.336322869955,4.96806053811659,37.085201793722,1.49571422881143,92.9211653222244
500,Climb,156.8,750.906576878897,-209.066666666667,88.5958944298483,12.1074460605642,946.461883408072,5.00518497757847,37.1636771300448,1.49571422881143,92.8776097666689
501,Climb,156.8,750.894118723825,-209.066666666667,88.5543468123813,12.1510539029846,951.587443946188,5.04238789237668,37.2421524663677,1.49571422881143,92.8340542111133
502,Climb,156.8,750.881660568753,-209.066666666667,88.5127991949144,12.1946610219093,956.713004484305,5.07966928251121,37.3206278026906,1.49571422881143,92.7904986555578
503,Climb,156.8,750.869202413681,-209.066666666667,88.4712515774474,12.2382674173381,961.838565022422,5.11702914798206,37.3991031390135,1.49571422881143,92.7469431000022
504,Climb,156.8,750.856744258609,-209.066666666667,88.4297039599804,12.2818730892711,966.964125560538,5.15446748878924,37.4775784753363,1.49571422881143,92.7033875444467
505,Climb,156.8,750.844286103536,-209.066666666667,88.3881563425134,12.3254780377083,972.089686098655,5.19198430493274,37.5560538116592,1.49571422881143,92.6598319888911
506,Climb,156.8,750.831551370495,-209.066666666667,88.3466087250464,12.3690822546186,977.215246636771,5.22957959641256,37.6345291479821,1.49571422881143,92.6162764333356
507,Climb,156.8,750.815008801837,-209.066666666667,88.3050611075794,12.4126856214029,982.340807174888,5.2672533632287,37.7130044843049,1.49571422881143,92.57272087778
508,Climb,156.8,750.798466233178,-209.066666666667,88.2635134901124,12.4562880274928,987.466367713005,5.30500560538117,37.7914798206278,1.49571422881143,92.5291653222244
509,Climb,156.8,750.781923664519,-209.066666666667,88.2219658726455,12.4998894728884,992.591928251121,5.34283632286996,37.8699551569507,1.49571422881143,92.4856097666689
510,Climb,156.8,750.765381095861,-209.066666666667,88.1804182551785,12.5434899575895,997.717488789238,5.38074551569507,37.9484304932735,1.49571422881143,92.4420542111133
