t_s,phase,P_demand_kW,V_pack,I_pack,SOC_pct,E_consumed_kWh,alt_m,range_km,v_mps,C_rate,E_remaining_kWh
1573,Descent,21,750.052794575962,-28,69.9022885220397,31.8324635554914,100.5,50.168875,26.75,0.200318869930102,73.2805681000022
1574,Descent,21,750.043668341873,-28,69.8967241089861,31.8382972639583,99,50.1955,26.5,0.200318869930102,73.2747347666689
1575,Descent,21,750.034541725589,-28,69.8911596959325,31.8441309014419,97.5,50.221875,26.25,0.200318869930102,73.2689014333355
1576,Descent,21,750.025415109304,-28,69.8855952828789,31.8499644679407,96,50.248,26,0.200318869930102,73.2630681000022
1577,Descent,21,750.016288493019,-28,69.8800308698253,31.8557979634547,94.5,50.273875,25.75,0.200318869930102,73.2572347666689
1578,Descent,21,750.007161876735,-28,69.8744664567717,31.8616313879839,93,50.2995,25.5,0.200318869930102,73.2514014333355
1579,Descent,21,749.99803526045,-28,69.8689020437181,31.8674647415283,91.5,50.324875,25.25,0.200318869930102,73.2455681000022
1580,Descent,21,749.988908644165,-28,69.8633376306645,31.8732980240879,90,50.35,25,0.200318869930102,73.2397347666689
1581,Descent,21,749.979782027881,-28,69.8577732176108,31.8791312356628,88.5,50.374875,24.75,0.200318869930102,73.2339014333355
1582,Descent,21,749.970655411596,-28,69.8522088045572,31.8849643762528,87,50.3995,24.5,0.200318869930102,73.2280681000022
1583,Descent,21,749.961528795311,-28,69.8466443915036,31.8907974458581,85.5,50.423875,24.25,0.200318869930102,73.2222347666689
1584,Descent,21,749.952402119671,-28,69.84107997845,31.8966304444783,84,50.448,24,0.200318869930102,73.2164014333355
1585,Descent,21,749.943275223875,-28,69.8355155653964,31.9024633721124,82.5,50.471875,23.75,0.200318869930102,73.2105681000022
1586,Descent,21,749.934148328078,-28,69.8299511523428,31.9082962287595,81,50.4955,23.5,0.200318869930102,73.2047347666689
1587,Descent,21,749.925021432281,-28,69.8243867392892,31.9141290144197,79.5,50.518875,23.25,0.200318869930102,73.1989014333355
1588,Descent,21,749.915894536485,-28,69.8188223262355,31.9199617290929,78,50.542,23,0.200318869930102,73.1930681000022
1589,Descent,21,749.906767640688,-28,69.8132579131819,31.9257943727792,76.5,50.564875,22.75,0.200318869930102,73.1872347666689
1590,Descent,21,749.897640744891,-28,69.8076935001283,31.9316269454785,75,50.5875,22.5,0.200318869930102,73.1814014333355
1591,Descent,21,749.888513849095,-28,69.8021290870747,31.9374594471908,73.5,50.609875,22.25,0.200318869930102,73.1755681000022
1592,Descent,21,749.879386953298,-28,69.7965646740211,31.9432918779161,72,50.632,22,0.200318869930102,73.1697347666689
1593,Descent,21,749.870260057501,-28,69.7910002609675,31.9491242376545,70.5,50.653875,21.75,0.200318869930102,73.1639014333355
1594,Descent,21,749.861133138375,-28,69.7854358479139,31.9549565264058,69,50.6755,21.5,0.200318869930102,73.1580681000022
1595,Descent,21,749.852006132716,-28,69.7798714348602,31.9607887441696,67.5,50.696875,21.25,0.200318869930102,73.1522347666689
1596,Descent,21,749.842879127056,-28,69.7743070218066,31.9666208909456,66,50.718,21,0.200318869930102,73.1464014333355
1597,Descent,21,749.833752121397,-28,69.768742608753,31.9724529667338,64.5,50.738875,20.75,0.200318869930102,73.1405681000022
1598,Descent,21,749.824625115738,-28,69.7631781956994,31.9782849715342,63,50.7595,20.5,0.200318869930102,73.1347347666689
1599,Descent,21,749.815498110079,-28,69.7576137826458,31.9841169053467,61.5,50.779875,20.25,0.200318869930102,73.1289014333356
1600,Descent,21,749.806371104419,-28,69.7520493695922,31.9899487681715,60,50.8,20,0.200318869930102,73.1230681000022
1601,Descent,21,749.79724409876,-28,69.7464849565386,31.9957805600084,58.5,50.819875,19.75,0.200318869930102,73.1172347666689
1602,Descent,21,749.788117093101,-28,69.7409205434849,32.0016122808574,57,50.8395,19.5,0.200318869930102,73.1114014333355
1603,Descent,21,749.778990087442,-28,69.7353561304313,32.0074439307187,55.5,50.858875,19.25,0.200318869930102,73.1055681000022
1604,Descent,21,749.769863083214,-28,69.7297917173777,32.0132755095921,54,50.878,19,0.200318869930102,73.0997347666689
1605,Descent,21,749.760736084296,-28,69.7242273043241,32.0191070174778,52.5,50.896875,18.75,0.200318869930102,73.0939014333355
