SOC,OCVchg_V_15C,OCVdis_V_15C,OCVavg_V_15C,OCVchg_V_25C,OCVdis_V_25C,OCVavg_V_25C,OCVchg_V_45C,OCVdis_V_45C,OCVavg_V_45C
0.29,3.57791913586537,3.49377181084222,3.5358454733538,3.56175159434381,3.48818576830896,3.52496868132639,3.54832861382244,3.46973781637516,3.5090332150988
0.295,3.5830229302688,3.49966004842346,3.54134148934613,3.56659388070077,3.49517462188604,3.53088425129341,3.55268087563219,3.47673956304265,3.51471021933742
0.3,3.58812672467223,3.5055482860047,3.54683750533847,3.57143616705772,3.50190213894784,3.53666915300278,3.55749848191092,3.48374130971015,3.52061989581053
0.305,3.59323051907566,3.51143652358594,3.5523335213308,3.57686520682351,3.50772279853485,3.54229400267918,3.56289841933688,3.49074305637765,3.52682073785726
0.31,3.59833387055422,3.51732476116718,3.5578293158607,3.58235640450996,3.51354345812186,3.54794993131591,3.56829835676285,3.4968811977558,3.53258977725932
0.315,3.60342801720945,3.52321299874842,3.56332050797894,3.58784760219642,3.51936411770887,3.55360585995264,3.57369829418881,3.50298644004559,3.5383423671172
0.32,3.60852216386468,3.52910123632966,3.56881170009717,3.59333879988288,3.52518477729588,3.55926178858938,3.57909823161477,3.50909168233539,3.54409495697508
0.325,3.6136163105199,3.53498947391091,3.5743028922154,3.59882999756933,3.53100543688289,3.56491771722611,3.58449816904074,3.51519692462518,3.54984754683296
0.33,3.61871045717513,3.54073722092768,3.5797238390514,3.60432119525579,3.5368260964699,3.57057364586284,3.5898981064667,3.52130216691498,3.55560013669084
0.335,3.62380460383035,3.54602501217001,3.58491480800018,3.60981239294224,3.54264675605691,3.57622957449957,3.59529804389267,3.52740740920477,3.56135272654872
0.34,3.62889875048558,3.55131280341235,3.59010577694897,3.6153035906287,3.54846741564391,3.58188550313631,3.60069798131863,3.53351265149457,3.5671053164066
0.345,3.6339928971408,3.55660059465469,3.59529674589775,3.62079478831515,3.55428807523092,3.58754143177304,3.6060979187446,3.53961789378436,3.57285790626448
